Your session has expired,A sua sessão expirou
Auto-hide the tabs after a set amount of time (will be shown again when the user hovers/taps the Slider),Auto-hide the tabs after a set amount of time (will be shown again when the user hovers/taps the Slider)
The amount of the time before the Tabs are hidden on Desktop computers (in milliseconds),The amount of the time before the Tabs are hidden on Desktop computers (in milliseconds)
The amount of the time before the Tabs are hidden on mobile devices (in milliseconds),The amount of the time before the Tabs are hidden on mobile devices (in milliseconds)
Hide the Tabs when the browser window is equal to or below a certain number,Hide the Tabs when the browser window is equal to or below a certain number
Hide the Tabs when the browser window is equal to or below this number,Hide the Tabs when the browser window is equal to or below this number
Hide the Tabs when the browser window is equal to or above a certain number,Hide the Tabs when the browser window is equal to or above a certain number
Hide the Tabs when the browser window is equal to or above this number,Hide the Tabs when the browser window is equal to or above this number
Adjust the size colors and other styles for the tabs,Adjust the size colors and other styles for the tabs
Enable custom styling overrides for the tabs,Enable custom styling overrides for the tabs
Enable Thumbnails,Enable Thumbnails
Enable Thumbnails for the Slider's navigation,Enable Thumbnails for the Slider's navigation
Thumbnails Type/Style,Thumbnails Type/Style
Choose a predefined style for the Thumbnails navigation,Choose a predefined style for the Thumbnails navigation
Display the thumbs next to one another (horizontal) or on top of one another (vertical),Display the thumbs next to one another (horizontal) or on top of one another (vertical)
Choose if the thumbs should appear inside or outside the Slider's main content area,Choose if the thumbs should appear inside or outside the Slider's main content area
The Thumb's alignment position in the Slider before any offset(s) are applied,The Thumb's alignment position in the Slider before any offset(s) are applied
Offset the Thumb's horizontal position by this amount.  Accepts positive and negative values.,Offset the Thumb's horizontal position by this amount.  Accepts positive and negative values.
Offset the Thumb's vertical position by this amount.  Accepts positive and negative values.,Offset the Thumb's vertical position by this amount.  Accepts positive and negative values.
Num. Thumbs,Num. Thumbs
The maximum number of thumbs that should be visible regardless of the screen size,The maximum number of thumbs that should be visible regardless of the screen size
The space between each individual thumb (in pixels),The space between each individual thumb (in pixels)
The default width for each individual thumb,The default width for each individual thumb
The minimum width for each individual thumb,The minimum width for each individual thumb
The default height for each individual thumb,The default height for each individual thumb
Wrapper Color,Wrapper Color
The background color for the thumbs main wrapper,The background color for the thumbs main wrapper
The CSS padding that will be applied to the thumbs outer wrapper div,The CSS padding that will be applied to the thumbs outer wrapper div
Thumbs Animation,Thumbs Animation
Optionally animate the thumbs into and out of view when the slider first loads and on mouse hover,Optionally animate the thumbs into and out of view when the slider first loads and on mouse hover
Thumbs Animation Speed,Thumbs Animation Speed
The animation speed for when the Thumbs animate into and out of view,The animation speed for when the Thumbs animate into and out of view
Thumbs Show Delay,Thumbs Show Delay
A delay in milliseconds before the Thumbs animate into view,A delay in milliseconds before the Thumbs animate into view
Auto-hide the thumbs after a set amount of time (will be shown again when the user hovers/taps the Slider),Auto-hide the thumbs after a set amount of time (will be shown again when the user hovers/taps the Slider)
The amount of the time before the Thumbnails are hidden on Desktop computers (in milliseconds),The amount of the time before the Thumbnails are hidden on Desktop computers (in milliseconds)
The amount of the time before the Thumbnails are hidden on mobile devices (in milliseconds),The amount of the time before the Thumbnails are hidden on mobile devices (in milliseconds)
Hide the Thumbnails when the browser window is equal to or below a certain number,Hide the Thumbnails when the browser window is equal to or below a certain number
Hide the Thumbnails when the browser window is equal to or below this number,Hide the Thumbnails when the browser window is equal to or below this number
Hide the Thumbnails when the browser window is equal to or above a certain number,Hide the Thumbnails when the browser window is equal to or above a certain number
Hide the Thumbnails when the browser window is equal to or above this number,Hide the Thumbnails when the browser window is equal to or above this number
Preview Image Width,Preview Image Width
The width of the navigation preview image,The width of the navigation preview image
Preview Image Height,Preview Image Height
The height of the navigation preview image,The height of the navigation preview image
Enable Touch Swipe,Enable Touch Swipe
Enable touch swiping to navigate to the previous/next slides,Enable touch swiping to navigate to the previous/next slides
Enable Touch Swipe for Desktop,Enable Touch Swipe for Desktop
Enable touch swiping on Desktop computers to navigate to the previous/next slides,Enable touch swiping on Desktop computers to navigate to the previous/next slides
Drag Block Vertical,Drag Block Vertical
Choose if the page and its contents should be scrolled when swiping vertically,Choose if the page and its contents should be scrolled when swiping vertically
